age,workclass,education,marital-status,occupation,gender,hours-per-week,salary
25,Private,11th,Never-married,Machine-op-inspct,Male,40,40099
38,Private,HS-grad,Married-civ-spouse,Farming-fishing,Male,50,39072
28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Male,40,75868
44,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,107150
18,?,Some-college,Never-married,?,Female,30,30342
34,Private,10th,Never-married,Other-service,Male,30,46066
29,?,HS-grad,Never-married,?,Male,40,43858
63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,32,81373
24,Private,Some-college,Never-married,Other-service,Female,40,41039
55,Private,7th-8th,Married-civ-spouse,Craft-repair,Male,10,42508
65,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,69823
36,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Male,40,20601
26,Private,HS-grad,Never-married,Adm-clerical,Female,39,23743
58,?,HS-grad,Married-civ-spouse,?,Male,35,43073
48,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,48,53351
43,Private,Masters,Married-civ-spouse,Exec-managerial,Male,50,65266
20,State-gov,Some-college,Never-married,Other-service,Male,25,38337
43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,30,38164
37,Private,HS-grad,Widowed,Machine-op-inspct,Female,20,30741
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,45,52893
34,Private,Bachelors,Married-civ-spouse,Tech-support,Male,47,74341
34,Private,Some-college,Never-married,Other-service,Female,35,47378
72,?,7th-8th,Divorced,?,Female,6,24462
25,Private,Bachelors,Never-married,Prof-specialty,Male,43,27991
25,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,46926
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,90,102351
22,Private,HS-grad,Never-married,Adm-clerical,Male,20,39509
23,Private,HS-grad,Separated,Machine-op-inspct,Male,54,22858
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,35,25356
32,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Male,60,48330
46,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Male,38,71789
56,Self-emp-not-inc,11th,Widowed,Other-service,Female,50,41690
24,Self-emp-not-inc,Bachelors,Never-married,Sales,Male,50,23227
23,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Male,40,28644
26,Private,HS-grad,Divorced,Exec-managerial,Female,40,26177
65,?,HS-grad,Married-civ-spouse,?,Male,40,46611
36,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,99212
22,Private,5th-6th,Never-married,Priv-house-serv,Male,50,24108
17,Private,10th,Never-married,Machine-op-inspct,Male,40,40170
20,Private,HS-grad,Never-married,Craft-repair,Male,40,43828
65,Private,Masters,Married-civ-spouse,Prof-specialty,Male,50,63473
44,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Male,45,74616
36,Private,HS-grad,Married-civ-spouse,Farming-fishing,Male,40,44698
29,Private,11th,Married-civ-spouse,Other-service,Male,40,44724
20,State-gov,Some-college,Never-married,Farming-fishing,Male,32,48069
28,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Female,36,72318
39,Private,7th-8th,Married-civ-spouse,Craft-repair,Male,40,42684
54,Private,Some-college,Married-civ-spouse,Transport-moving,Male,50,28888
52,Private,11th,Separated,Priv-house-serv,Female,18,38207
56,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Female,50,36792
18,Private,Some-college,Never-married,Other-service,Male,20,44678
39,Private,HS-grad,Divorced,Handlers-cleaners,Male,40,25317
21,Private,Some-college,Never-married,Other-service,Female,24,38424
22,Private,HS-grad,Never-married,Other-service,Male,60,98026
38,Private,9th,Married-spouse-absent,Exec-managerial,Male,54,41246
21,Private,Some-college,Never-married,Adm-clerical,Female,40,33388
63,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,27216
34,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,58663
42,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,50,79417
33,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,40,32177
30,Private,Bachelors,Never-married,Exec-managerial,Female,50,30267
39,Private,Some-college,Divorced,Sales,Male,40,30352
26,Private,Masters,Never-married,Exec-managerial,Female,40,29012
33,Private,HS-grad,Never-married,Machine-op-inspct,Female,40,40014
47,Local-gov,HS-grad,Divorced,Adm-clerical,Female,40,36881
41,Private,Bachelors,Never-married,Other-service,Female,40,47914
41,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Male,60,66661
19,Private,Some-college,Never-married,Other-service,Male,20,38879
46,Private,HS-grad,Separated,Transport-moving,Male,40,21988
43,Private,HS-grad,Married-civ-spouse,Sales,Male,48,20471
55,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,45,93829
46,Private,Assoc-voc,Married-civ-spouse,Tech-support,Male,40,27990
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,25838
21,Private,Some-college,Separated,Handlers-cleaners,Female,40,28599
46,Private,Some-college,Married-civ-spouse,Craft-repair,Male,40,25878
17,?,10th,Never-married,?,Male,40,35965
41,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,50,31914
69,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,30,43466
50,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,33484
20,Private,Some-college,Never-married,Adm-clerical,Female,40,39366
45,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Male,50,20633
23,Private,Bachelors,Never-married,Exec-managerial,Male,40,45679
24,Private,Some-college,Separated,Other-service,Male,40,24644
44,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,50,68622
31,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Male,50,34821
43,Private,HS-grad,Separated,Machine-op-inspct,Female,44,46813
20,Federal-gov,11th,Never-married,Other-service,Female,10,26148
55,Private,HS-grad,Married-civ-spouse,Sales,Male,56,108708
24,Federal-gov,Some-college,Never-married,Armed-Forces,Male,40,21115
41,?,Masters,Married-civ-spouse,?,Female,10,54299
59,Private,Bachelors,Never-married,Exec-managerial,Female,25,24498
49,Federal-gov,7th-8th,Never-married,Other-service,Male,20,27170
33,Private,Masters,Married-civ-spouse,Prof-specialty,Female,10,78176
59,Federal-gov,Bachelors,Divorced,Adm-clerical,Male,40,31374
34,Private,Masters,Never-married,Other-service,Male,40,32141
20,Private,HS-grad,Never-married,Handlers-cleaners,Male,40,48022
25,Private,Bachelors,Never-married,Exec-managerial,Female,40,29063
49,Private,10th,Married-civ-spouse,Farming-fishing,Male,40,48761
59,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,112928
20,Private,HS-grad,Never-married,Adm-clerical,Female,40,37373
51,?,Some-college,Married-civ-spouse,?,Female,18,42751
33,Private,Some-college,Never-married,Adm-clerical,Female,35,43355
22,Private,Some-college,Never-married,Transport-moving,Male,39,38080
58,Self-emp-not-inc,9th,Widowed,Other-service,Female,40,36471
52,Local-gov,HS-grad,Widowed,Adm-clerical,Female,28,23769
36,Private,10th,Separated,Machine-op-inspct,Female,40,41904
41,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Male,40,33308
28,Private,HS-grad,Never-married,Transport-moving,Male,40,23057
19,Private,Some-college,Never-married,Handlers-cleaners,Male,16,41255
18,Private,HS-grad,Never-married,Other-service,Female,28,44718
18,Private,HS-grad,Never-married,Machine-op-inspct,Female,48,44280
28,Private,Some-college,Married-civ-spouse,Craft-repair,Male,40,43971
29,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,40,83042
20,?,HS-grad,Never-married,?,Female,20,47194
40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Male,40,20055
26,Private,HS-grad,Never-married,Handlers-cleaners,Male,40,42022
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,28579
23,Private,11th,Never-married,Other-service,Female,24,44178
44,Private,HS-grad,Married-spouse-absent,Adm-clerical,Female,40,28177
43,Private,Bachelors,Divorced,Sales,Female,40,80144
31,Local-gov,Bachelors,Divorced,Prof-specialty,Female,60,24337
18,Private,Some-college,Never-married,Sales,Female,25,26454
19,Private,Some-college,Never-married,Protective-serv,Male,30,20264
41,Private,Some-college,Divorced,Tech-support,Female,40,29176
41,Private,HS-grad,Divorced,Handlers-cleaners,Female,40,40220
69,Private,HS-grad,Divorced,Adm-clerical,Female,25,48196
48,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Female,40,91155
28,Private,HS-grad,Never-married,Prof-specialty,Male,40,26131
27,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,60,54506
41,Private,Masters,Married-civ-spouse,Prof-specialty,Male,50,84629
41,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,40,32207
24,Private,HS-grad,Never-married,Craft-repair,Female,40,41358
20,?,HS-grad,Never-married,?,Female,40,29977
42,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,41,74969
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,48,22272
30,Private,Assoc-acdm,Never-married,Prof-specialty,Female,40,22424
36,Private,HS-grad,Married-civ-spouse,Sales,Male,60,80532
49,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Male,40,32098
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Female,35,26401
23,Private,10th,Married-civ-spouse,Farming-fishing,Male,40,44933
46,Private,Masters,Married-civ-spouse,Prof-specialty,Male,40,22689
18,Private,Some-college,Never-married,Adm-clerical,Female,22,39865
40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,55,89175
43,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,45,98836
34,Private,Masters,Never-married,Prof-specialty,Female,30,42097
47,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Female,30,30076
44,Private,Assoc-voc,Widowed,Exec-managerial,Female,30,46068
33,Private,HS-grad,Married-civ-spouse,Sales,Male,40,73799
55,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,67463
19,Private,HS-grad,Never-married,Sales,Male,30,48174
28,Private,Some-college,Never-married,Other-service,Male,14,43266
27,Private,11th,Married-civ-spouse,Other-service,Female,32,45287
50,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Male,20,30862
22,Private,11th,Never-married,Craft-repair,Male,40,47859
40,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Male,45,54366
25,Private,Some-college,Never-married,Adm-clerical,Female,40,46324
26,Local-gov,HS-grad,Never-married,Craft-repair,Male,40,42588
22,Private,Bachelors,Never-married,Sales,Male,25,31172
42,Private,Some-college,Never-married,Handlers-cleaners,Female,40,39178
38,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Male,40,48993
55,Private,11th,Married-civ-spouse,Other-service,Male,30,30922
32,Private,HS-grad,Married-civ-spouse,Sales,Male,40,22265
22,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,45,48214
29,Private,Bachelors,Never-married,Sales,Male,40,36945
46,State-gov,Masters,Married-civ-spouse,Exec-managerial,Male,45,80076
31,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,40,67656
58,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,16,65254
42,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,45,22504
18,Private,HS-grad,Never-married,Handlers-cleaners,Male,25,26319
58,Local-gov,HS-grad,Divorced,Exec-managerial,Male,33,47301
54,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,40,55958
34,Private,Masters,Never-married,Prof-specialty,Male,40,44687
26,Private,Bachelors,Never-married,Adm-clerical,Female,40,30069
61,Private,12th,Married-civ-spouse,Exec-managerial,Male,60,36453
48,Local-gov,Masters,Separated,Adm-clerical,Female,40,41652
